company_name,screener_url,market_cap_text,market_cap_cr,result_pdf_link
Nilachal Refract,https://www.screener.in/company/502294/,90.7 Cr,90.7,https://www.screener.in/company/source/quarter/2266/3/2026/
Punctual Trading,https://www.screener.in/company/512461/,,,https://www.screener.in/company/source/quarter/1268318/3/2026/
Mangalam Global,https://www.screener.in/company/MGEL/consolidated/,425 Cr,425.0,https://www.screener.in/company/source/quarter/1274713/3/2026/
Virgo Global,https://www.screener.in/company/532354/,5.84 Cr,5.84,https://www.screener.in/company/source/quarter/3677/3/2026/
HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/,"12,31,316 Cr",1231316.0,https://www.screener.in/company/source/quarter/1298/3/2026/
ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/,"9,64,507 Cr",964507.0,https://www.screener.in/company/source/quarter/1384/3/2026/
Netwrk.18 Media,https://www.screener.in/company/NETWORK18/consolidated/,"5,607 Cr",5607.0,https://www.screener.in/company/source/quarter/2241/3/2026/
Yes Bank,https://www.screener.in/company/YESBANK/consolidated/,"63,357 Cr",63357.0,https://www.screener.in/company/source/quarter/3783/3/2026/
GSM Foils,https://www.screener.in/company/GSMFOILS/,324 Cr,324.0,https://www.screener.in/company/source/quarter/1284791/3/2026/
Infomedia Press,https://www.screener.in/company/INFOMEDIA/,30.6 Cr,30.6,https://www.screener.in/company/source/quarter/1487/3/2026/
Hathway Cable,https://www.screener.in/company/HATHWAY/consolidated/,"2,052 Cr",2052.0,https://www.screener.in/company/source/quarter/1286/3/2026/
Eco Hotels,https://www.screener.in/company/514402/consolidated/,94.3 Cr,94.3,https://www.screener.in/company/source/quarter/729818/3/2026/
Wherrelz IT,https://www.screener.in/company/543436/,6.10 Cr,6.1,https://www.screener.in/company/source/quarter/1275132/3/2026/
PropsharePlatina,https://www.screener.in/company/544295/consolidated/,356 Cr,356.0,https://www.screener.in/company/source/quarter/1285178/3/2026/
PropshareTitania,https://www.screener.in/company/544462/consolidated/,496 Cr,496.0,https://www.screener.in/company/source/quarter/1285549/3/2026/
Adit.Birla Money,https://www.screener.in/company/BIRLAMONEY/,799 Cr,799.0,https://www.screener.in/company/source/quarter/69/3/2026/
Bridge Securitie,https://www.screener.in/company/530249/,64.8 Cr,64.8,https://www.screener.in/company/source/quarter/548/3/2026/
Yuranus Infrast.,https://www.screener.in/company/536846/,50.6 Cr,50.6,https://www.screener.in/company/source/quarter/647922/3/2026/
National Standar,https://www.screener.in/company/504882/,"2,839 Cr",2839.0,https://www.screener.in/company/source/quarter/1267859/3/2026/
Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/,"1,54,928 Cr",154928.0,https://www.screener.in/company/source/quarter/1284422/3/2026/
Sanathnagar Ent.,https://www.screener.in/company/509423/,12.5 Cr,12.5,https://www.screener.in/company/source/quarter/1268089/3/2026/
Mastek,https://www.screener.in/company/MASTEK/consolidated/,"5,412 Cr",5412.0,https://www.screener.in/company/source/quarter/2026/3/2026/
Bajaj Consumer,https://www.screener.in/company/BAJAJCON/consolidated/,"6,138 Cr",6138.0,https://www.screener.in/company/source/quarter/370/3/2026/
CRISIL,https://www.screener.in/company/CRISIL/consolidated/,"31,705 Cr",31705.0,https://www.screener.in/company/source/quarter/737/3/2026/
M B Agro Prod.,https://www.screener.in/company/MBAPL/,"4,465 Cr",4465.0,https://www.screener.in/company/source/quarter/1273482/3/2026/
Lloyds Luxuries,https://www.screener.in/company/LLOYDS/,197 Cr,197.0,https://www.screener.in/company/source/quarter/1275321/3/2026/
VST Industries,https://www.screener.in/company/VSTIND/,"4,498 Cr",4498.0,https://www.screener.in/company/source/quarter/3711/3/2026/
Roselabs Finance,https://www.screener.in/company/531324/,23.9 Cr,23.9,https://www.screener.in/company/source/quarter/2781/3/2026/
Waaree Renewab.,https://www.screener.in/company/WAAREERTL/consolidated/,"11,646 Cr",11646.0,https://www.screener.in/company/source/quarter/49530/3/2026/
Angel One,https://www.screener.in/company/ANGELONE/consolidated/,"29,372 Cr",29372.0,https://www.screener.in/company/source/quarter/1274790/3/2026/
TCS,https://www.screener.in/company/TCS/consolidated/,"9,34,009 Cr",934009.0,https://www.screener.in/company/source/quarter/3365/3/2026/
Ganesh Holdings,https://www.screener.in/company/504397/,8.21 Cr,8.21,https://www.screener.in/company/source/quarter/1090/3/2026/
Alok Industries,https://www.screener.in/company/ALOKINDS/consolidated/,"7,095 Cr",7095.0,https://www.screener.in/company/source/quarter/142/3/2026/
Wipro,https://www.screener.in/company/WIPRO/consolidated/,"2,14,301 Cr",214301.0,https://www.screener.in/company/source/quarter/3763/3/2026/
HDFC Life Insur.,https://www.screener.in/company/HDFCLIFE/consolidated/,"1,33,019 Cr",133019.0,https://www.screener.in/company/source/quarter/1274197/3/2026/
HDFC AMC,https://www.screener.in/company/HDFCAMC/,"1,19,626 Cr",119626.0,https://www.screener.in/company/source/quarter/1274395/3/2026/
SG Finserve,https://www.screener.in/company/SGFIN/,"3,385 Cr",3385.0,https://www.screener.in/company/source/quarter/1270884/3/2026/
Infollion Resea.,https://www.screener.in/company/INFOLLION/,246 Cr,246.0,https://www.screener.in/company/source/quarter/1284370/3/2026/
Rel. Indl. Infra,https://www.screener.in/company/RIIL/consolidated/,"1,212 Cr",1212.0,https://www.screener.in/company/source/quarter/2725/3/2026/
GTPL Hathway,https://www.screener.in/company/GTPL/consolidated/,782 Cr,782.0,https://www.screener.in/company/source/quarter/1274089/3/2026/
Tejas Networks,https://www.screener.in/company/TEJASNET/consolidated/,"7,546 Cr",7546.0,https://www.screener.in/company/source/quarter/1274086/3/2026/
Lotus Chocolate,https://www.screener.in/company/523475/,981 Cr,981.0,https://www.screener.in/company/source/quarter/1914/3/2026/
ICICI Lombard,https://www.screener.in/company/ICICIGI/,"94,307 Cr",94307.0,https://www.screener.in/company/source/quarter/1274145/3/2026/
Media Matrix,https://www.screener.in/company/512267/consolidated/,"1,204 Cr",1204.0,https://www.screener.in/company/source/quarter/2048/3/2026/
Nikki Glob.Fin.,https://www.screener.in/company/531272/,7.54 Cr,7.54,https://www.screener.in/company/source/quarter/2264/3/2026/
Bombay Wire,https://www.screener.in/company/504648/,28.5 Cr,28.5,https://www.screener.in/company/source/quarter/1267843/3/2026/
HDB FINANC SER,https://www.screener.in/company/HDBFS/,"56,628 Cr",56628.0,https://www.screener.in/company/source/quarter/1285509/3/2026/
Cont. Controls,https://www.screener.in/company/531460/,5.97 Cr,5.97,https://www.screener.in/company/source/quarter/704/3/2026/
Elecon Engg.Co,https://www.screener.in/company/ELECON/consolidated/,"9,262 Cr",9262.0,https://www.screener.in/company/source/quarter/903/3/2026/
Nuvoco Vistas,https://www.screener.in/company/NUVOCO/consolidated/,"11,122 Cr",11122.0,https://www.screener.in/company/source/quarter/1274910/3/2026/
Hathway Bhawani,https://www.screener.in/company/509073/consolidated/,10.0 Cr,10.0,https://www.screener.in/company/source/quarter/1285/3/2026/
Den Networks,https://www.screener.in/company/DEN/consolidated/,"1,395 Cr",1395.0,https://www.screener.in/company/source/quarter/792/3/2026/
Anand Rathi Shar,https://www.screener.in/company/ARSSBL/,"3,621 Cr",3621.0,https://www.screener.in/company/source/quarter/1285676/3/2026/
Kapil Raj Financ,https://www.screener.in/company/539679/,32.6 Cr,32.6,https://www.screener.in/company/source/quarter/1273258/3/2026/
ICICI Pru Life,https://www.screener.in/company/ICICIPRULI/consolidated/,"81,466 Cr",81466.0,https://www.screener.in/company/source/quarter/1273517/3/2026/
Eimco Elecon(I),https://www.screener.in/company/EIMCOELECO/,957 Cr,957.0,https://www.screener.in/company/source/quarter/892/3/2026/
Parin Enterpris.,https://www.screener.in/company/PARIN/consolidated/,704 Cr,704.0,https://www.screener.in/company/source/quarter/1274575/3/2026/
Just Dial,https://www.screener.in/company/JUSTDIAL/,"4,675 Cr",4675.0,https://www.screener.in/company/source/quarter/400458/3/2026/
ICICI AMC,https://www.screener.in/company/ICICIAMC/,"1,65,028 Cr",165028.0,https://www.screener.in/company/source/quarter/1285819/3/2026/
Swaraj Engines,https://www.screener.in/company/SWARAJENG/,"4,925 Cr",4925.0,https://www.screener.in/company/source/quarter/3316/3/2026/
Ind Bank Housing,https://www.screener.in/company/523465/,47.0 Cr,47.0,https://www.screener.in/company/source/quarter/1412/3/2026/
Swadha Nature,https://www.screener.in/company/531039/,4.48 Cr,4.48,https://www.screener.in/company/source/quarter/1269660/3/2026/
Aqylon Nexus,https://www.screener.in/company/AQYLON/,"1,153 Cr",1153.0,https://www.screener.in/company/source/quarter/3163/3/2026/
B2B Soft.Tech.,https://www.screener.in/company/531268/consolidated/,52.9 Cr,52.9,https://www.screener.in/company/source/quarter/359/3/2026/
Vashu Bhagnani,https://www.screener.in/company/532011/consolidated/,730 Cr,730.0,https://www.screener.in/company/source/quarter/1270084/3/2026/
Agri-Tech India,https://www.screener.in/company/AGRITECH/,73.0 Cr,73.0,https://www.screener.in/company/source/quarter/725818/3/2026/
Krishana Phosch.,https://www.screener.in/company/KRISHANA/,"3,791 Cr",3791.0,https://www.screener.in/company/source/quarter/1273647/3/2026/
G M Breweries,https://www.screener.in/company/GMBREW/,"2,255 Cr",2255.0,https://www.screener.in/company/source/quarter/1065/3/2026/
Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/,"30,633 Cr",30633.0,https://www.screener.in/company/source/quarter/1275117/3/2026/
Kesar India,https://www.screener.in/company/543542/consolidated/,"3,473 Cr",3473.0,https://www.screener.in/company/source/quarter/1275247/3/2026/
Jindal Leasefin,https://www.screener.in/company/539947/,21.0 Cr,21.0,https://www.screener.in/company/source/quarter/1273403/3/2026/
Alka India,https://www.screener.in/company/530889/consolidated/,9.94 Cr,9.94,https://www.screener.in/company/source/quarter/129/3/2026/
