company_name,screener_url,result_pdf_link,price,market_cap_text,market_cap_cr,pe,sales_latest_qtr_cr,sales_yoy_pct,net_profit_latest_qtr_cr,net_profit_yoy_pct
ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/#/#,https://www.screener.in/company/source/quarter/1384/3/2026/,1347.0,"9,64,507 Cr",964507.0,17.8,49594.0,2.0,15681.0,9.0
Yes Bank,https://www.screener.in/company/YESBANK/consolidated/#/#,https://www.screener.in/company/source/quarter/3783/3/2026/,20.2,"63,357 Cr",63357.0,18.0,7662.0,1.0,1082.0,45.0
Adit.Birla Money,https://www.screener.in/company/BIRLAMONEY/#/#,https://www.screener.in/company/source/quarter/69/3/2026/,141.0,799 Cr,799.0,13.1,130.0,30.0,18.7,101.0
Mastek,https://www.screener.in/company/MASTEK/consolidated/#/#,https://www.screener.in/company/source/quarter/2026/3/2026/,1746.0,"5,412 Cr",5412.0,12.8,938.0,4.0,106.0,41.0
Bajaj Consumer,https://www.screener.in/company/BAJAJCON/consolidated/#/#,https://www.screener.in/company/source/quarter/370/3/2026/,470.0,"6,138 Cr",6138.0,32.3,327.0,30.0,63.6,105.0
CRISIL,https://www.screener.in/company/CRISIL/consolidated/#/#,https://www.screener.in/company/source/quarter/737/3/2026/,4335.0,"31,705 Cr",31705.0,37.8,1058.0,30.0,233.0,46.0
M B Agro Prod.,https://www.screener.in/company/MBAPL/#/#,https://www.screener.in/company/source/quarter/1273482/3/2026/,510.0,"4,465 Cr",4465.0,29.7,395.0,33.0,59.8,319.0
VST Industries,https://www.screener.in/company/VSTIND/#/#,https://www.screener.in/company/source/quarter/3711/3/2026/,265.0,"4,498 Cr",4498.0,15.4,457.0,31.0,117.0,120.0
Waaree Renewab.,https://www.screener.in/company/WAAREERTL/consolidated/#/#,https://www.screener.in/company/source/quarter/49530/3/2026/,1116.0,"11,646 Cr",11646.0,24.3,1102.0,131.0,156.0,61.0
Angel One,https://www.screener.in/company/ANGELONE/consolidated/#/#,https://www.screener.in/company/source/quarter/1274790/3/2026/,322.0,"29,372 Cr",29372.0,32.1,1459.0,38.0,320.0,84.0
TCS,https://www.screener.in/company/TCS/consolidated/#/#,https://www.screener.in/company/source/quarter/3365/3/2026/,2582.0,"9,34,009 Cr",934009.0,17.9,70698.0,10.0,13784.0,12.0
SG Finserve,https://www.screener.in/company/SGFIN/#/#,https://www.screener.in/company/source/quarter/1270884/3/2026/,514.0,"3,385 Cr",3385.0,26.5,105.0,95.0,42.3,78.0
ICICI Lombard,https://www.screener.in/company/ICICIGI/#/#,https://www.screener.in/company/source/quarter/1274145/3/2026/,1892.0,"94,307 Cr",94307.0,34.0,6825.0,13.0,547.0,7.0
Media Matrix,https://www.screener.in/company/512267/consolidated/#/#,https://www.screener.in/company/source/quarter/2048/3/2026/,10.6,"1,204 Cr",1204.0,205.8,301.0,11.0,2.08,805.0
HDB FINANC SER,https://www.screener.in/company/HDBFS/#/#,https://www.screener.in/company/source/quarter/1285509/3/2026/,682.0,"56,628 Cr",56628.0,22.3,4745.0,11.0,751.0,41.0
Nuvoco Vistas,https://www.screener.in/company/NUVOCO/consolidated/#/#,https://www.screener.in/company/source/quarter/1274910/3/2026/,311.0,"11,122 Cr",11122.0,28.5,3307.0,9.0,141.0,3.0
Anand Rathi Shar,https://www.screener.in/company/ARSSBL/#/#,https://www.screener.in/company/source/quarter/1285676/3/2026/,574.0,"3,621 Cr",3621.0,27.5,255.0,28.0,42.0,125.0
ICICI AMC,https://www.screener.in/company/ICICIAMC/#/#,https://www.screener.in/company/source/quarter/1285819/3/2026/,3339.0,"1,65,028 Cr",165028.0,50.0,1517.0,20.0,763.0,10.0
Swaraj Engines,https://www.screener.in/company/SWARAJENG/#/#,https://www.screener.in/company/source/quarter/3316/3/2026/,4053.0,"4,925 Cr",4925.0,24.8,546.0,20.0,54.6,20.0
Krishana Phosch.,https://www.screener.in/company/KRISHANA/#/#,https://www.screener.in/company/source/quarter/1273647/3/2026/,626.0,"3,791 Cr",3791.0,21.0,755.0,60.0,83.1,153.0
Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/#/#,https://www.screener.in/company/source/quarter/1275117/3/2026/,3690.0,"30,633 Cr",30633.0,78.3,277.0,30.0,102.0,41.0
Kesar India,https://www.screener.in/company/543542/consolidated/#/#,https://www.screener.in/company/source/quarter/1275247/3/2026/,1215.0,"3,473 Cr",3473.0,116.2,84.8,109.0,14.5,809.0
